id;asset_name;ip;created_utc;source;category
402618;server_spark;8.245.154.104;04/02/2024 00:00;pxtrpf;phising
657001;server_serenade;99.111.27.245;17/08/2024 00:00;pxtrpf;phising
856468;script_shrine;98.157.98.17;03/06/2024 00:00;crowdstrike;phising
351808;name_spray;56.165.175.235;29/07/2024 00:00;defender;phising
236533;server_sonic;254.140.235.133;30/09/2024 00:00;pxtrpf;phising
720959;name_flash;138.17.221.79;08/07/2024 00:00;defender;phising
879864;server_spray;244.110.8.40;05/06/2024 00:00;xpklnr;phising
697221;name_rave;190.13.109.124;31/03/2024 00:00;defender;Phising
297341;server_sprout;37.68.185.154;26/04/2024 00:00;defender;phising
231391;node_nest;122.139.122.39;22/05/2024 00:00;pxtrpf;phising
164935;name_bounce;205.212.155.232;19/09/2024 00:00;crowdstrike;phising
709710;server_spark;8.245.154.104;09/08/2024 00:00;pxtrpf;phising
292110;name_vault;38.227.62.100;28/02/2024 00:00;crowdstrike;phising
69625;server_sonic;41.139.178.210;30/04/2024 00:00;xpklnr;phising
381696;name_flash;138.17.221.79;28/09/2024 00:00;defender;phising
793091;server_spray;86.153.111.108;11/07/2024 00:00;crowdstrike_cs;phising
736978;name_flu;119.132.254.128;19/01/2024 00:00;crowdstrike;phising
333012;server_pro;137.220.249.174;17/09/2024 00:00;defender;phising
519848;server_sprout;37.68.185.154;30/01/2024 00:00;defender;phising
838096;node_nectarine;168.104.59.94;23/06/2024 00:00;xpklnr;Phising
522304;server_phoenix;173.115.197.63;10/10/2024 00:00;xpklnr;phising
68220;spark_shrine;118.169.144.206;11/02/2024 00:00;pxtrpf;phising
147670;server_frenzy;195.181.27.3;16/09/2024 00:00;defender;phising
640987;connection_cacao;70.254.235.79;16/03/2024 00:00;crowdstrike;phising
241188;server_match;148.222.132.101;20/05/2024 00:00;crowdstrike;phising
385928;domain_daisy;87.3.75.80;15/06/2024 00:00;crowdstrike;phising
707829;server_spray;106.94.51.64;23/09/2024 00:00;crowdstrike_cs;phising
525158;cloud_clover;134.213.33.248;07/03/2024 00:00;defender;Phising
36380;server_pro;137.220.249.174;18/05/2024 00:00;defender;phising
526840;cloud_clover;134.213.33.248;26/06/2024 00:00;defender;phising
766886;spark_shrine;187.24.234.40;08/10/2024 00:00;crowdstrike;phising
144734;servivio;202.30.35.66;18/05/2024 00:00;xpklnr;Phising
565358;name_flare;73.80.176.177;14/06/2024 00:00;xpklnr;phising
386521;name_frenzy;192.215.91.76;05/10/2024 00:00;xpklnr;phising
179008;computing_coriander;203.13.190.29;08/02/2024 00:00;defender;Phising
641125;name_soar;255.61.194.85;15/01/2024 00:00;crowdstrike_cs;phising
328033;byte_basil;214.171.233.83;15/06/2024 00:00;defender;phising
787520;server_phoenix;85.153.99.255;27/03/2024 00:00;crowdstrike;phising
636696;spark_shrine;118.169.144.206;02/02/2024 00:00;pxtrpf;Phising
911805;node_nectarine;168.104.59.94;23/06/2024 00:00;xpklnr;phising
218630;server_horizon;102.145.229.227;17/04/2024 00:00;pxtrpf;phising
121030;server_hype;52.154.94.15;06/01/2024 00:00;defender;Phising
281260;name_soar;255.61.194.85;15/01/2024 00:00;crowdstrike_cs;Phising
547675;domain_daisy;87.3.75.80;14/02/2024 00:00;crowdstrike;phising
108677;server_spray;106.94.51.64;27/02/2024 00:00;crowdstrike_cs;phising
103347;server_lynx;60.140.72.229;05/02/2024 00:00;pxtrpf;phising
367225;logic_lemon;185.103.147.217;13/01/2024 00:00;pxtrpf;phising
539763;name_flare;15.232.2.167;21/07/2024 00:00;crowdstrike_cs;phising
577753;name_vault;192.161.97.125;04/06/2024 00:00;xpklnr;Phising
817077;name_flash;138.17.221.79;21/07/2024 00:00;defender;phising
173474;server_phoenix;173.115.197.63;27/05/2024 00:00;xpklnr;phising
684434;servivio;189.197.179.58;07/06/2024 00:00;crowdstrike;phising
